bolt_diameter,bolt_grade,number_of_bolts,pitch_distance,gauge_distance,end_distance,edge_distance,number_of_rows,number_of_columns,hole_diameter,strength_of_connection,yield_strength_plate_1,yield_strength_plate_2,length_of_connection,efficiency_of_connection
10,3.6,21,20,75.0,15,15,1,21,12,102842.42395208016,410,410,180,0.9723613675869347
10,4.6,16,20,75.0,15,15,1,16,12,104474.84337989088,410,410,180,0.9571682212183896
10,4.8,12,20,75.0,15,15,1,12,12,104474.84337989095,410,410,180,0.957168221218389
10,5.6,13,20,75.0,15,15,1,13,12,106107.2628077017,410,410,180,0.942442556276568
10,5.8,10,20,75.0,15,15,1,10,12,108827.96185405305,410,410,180,0.9188814923696536
12,3.6,15,22,75.0,17,17,1,15,14,105780.77892213958,410,410,184,0.945351329598409
12,4.6,11,22,75.0,17,17,1,11,14,103430.094946092,410,410,184,0.9668365870892822
12,4.8,8,22,75.0,17,17,1,8,14,100295.8496446953,410,410,184,0.9970502304358219
12,5.6,9,22,75.0,17,17,1,9,14,105780.77892213954,410,410,184,0.9453513295984093
12,5.8,7,22,75.0,17,17,1,7,14,109698.58554888546,410,410,184,0.9115887821127517
16,3.6,8,26,75.0,21,21,1,8,18,100295.8496446953,410,410,192,0.9970502304358219
16,4.6,6,26,75.0,21,21,1,6,18,100295.84964469526,410,410,192,0.9970502304358223
16,4.8,5,26,75.0,21,21,1,5,18,111439.83293855033,410,410,192,0.8973452073922398
16,5.6,5,26,75.0,21,21,1,5,18,104474.84337989088,410,410,192,0.9571682212183896
16,5.8,4,26,75.0,21,21,1,4,18,111439.83293855032,410,410,192,0.8973452073922399
20,3.6,6,30,75.0,25,25,1,6,22,117534.19880237734,410,410,200,0.8508161966385678
20,4.6,4,30,75.0,25,25,1,4,22,104474.84337989088,410,410,200,0.9571682212183896
20,4.8,3,30,75.0,25,25,1,3,22,104474.84337989095,410,410,200,0.957168221218389
20,5.6,4,30,75.0,25,25,1,4,22,130593.55422486363,410,410,200,0.7657345769747115
20,5.8,3,30,75.0,25,25,1,3,22,130593.55422486368,410,410,200,0.7657345769747113
24,3.6,4,34,75.0,29,29,1,4,26,112832.83085028222,410,410,208,0.8862668714985084
24,4.6,3,34,75.0,29,29,1,3,26,112832.83085028216,410,410,208,0.8862668714985088
24,5.6,3,34,75.0,29,29,1,3,26,141041.03856285271,410,410,208,0.709013497198807
